catalog,category,weight
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Breeze-4,Kurta,0.3
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Rozana,Kurta Set,0.4
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Colors-7,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta Set,0.4
Mix,Kurta Set,0.4
Mix,Kurta Set,0.4
Mix,Kurta Set,0.4
Mix,Kurta Set,0.4
Mix,Kurta Set,0.4
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Gown,0.4
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Mix,Kurta,0.3
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
Surmaya,Kurta Set,0.4
